epoch,train_loss,val_loss,val_rmse_cm,epoch_time_s,elapsed_s,eta_s,lr
1,1.070617369243077,1.0651642978191376,2.1019028425216675,0.9301106000784785,0.9301106000784785,231.59753941954114,0.001
2,1.073212512901851,1.0651642978191376,2.1019028425216675,0.44011849991511554,1.370229099993594,169.90840839920565,0.001
3,1.0779052717345101,1.0651642978191376,2.1019028425216675,0.42387080006301403,1.794099900056608,147.71422510466073,0.001
4,1.0741488167217799,1.0651642978191376,2.1019028425216675,0.39749929995741695,2.191599200014025,134.78335080086254,0.001
5,1.0724873372486659,1.0651642978191376,2.1019028425216675,0.42488479998428375,2.6164839999983087,128.20771599991713,0.001
6,1.078769428389413,1.0651642978191376,2.1019028425216675,0.40900139999575913,3.025485399994068,123.03640626642542,0.001
7,1.074927134173257,1.0651642978191376,2.1019028425216675,0.3925455999560654,3.4180309999501333,118.65450471255463,0.001
8,1.0759526576314653,1.0651642978191376,2.1019028425216675,0.39410799997858703,3.8121389999287203,115.31720474784379,0.001
9,1.0724114605358668,1.0651642978191376,2.1019028425216675,0.40341159992385656,4.215550599852577,112.8830771738301,0.001
10,1.0754334841455733,1.0651642978191376,2.1019028425216675,0.4033122000982985,4.618862799950875,110.85270719882101,0.001
11,1.0737535783222742,1.0651642978191376,2.1019028425216675,0.39096299989614636,5.009825799847022,108.84985146940346,0.001
12,1.0733447074890137,1.0651642978191376,2.1019028425216675,0.4102452000370249,5.420070999884047,107.49807483103359,0.0005
13,1.0702543599264962,1.0651642978191376,2.1019028425216675,0.4419257000554353,5.861996699939482,106.86870906812747,0.0005
14,1.072144295488085,1.0651642978191376,2.1019028425216675,0.40352319995872676,6.265519899898209,105.61876402685552,0.0005
15,1.072775457586561,1.0651642978191376,2.1019028425216675,0.5018034999957308,6.7673233998939395,106.02139993167172,0.0005
16,1.0691183464867728,1.0651642978191376,2.1019028425216675,0.39324859995394945,7.160571999847889,104.72336549777538,0.0005
17,1.0773149047579085,1.0651642978191376,2.1019028425216675,0.3899857000214979,7.550557699869387,103.48705553350395,0.0005
18,1.0782620225633894,1.0651642978191376,2.1019028425216675,0.4039399999892339,7.954497699858621,102.52463702040001,0.0005
19,1.07604946408953,1.0651642978191376,2.1019028425216675,0.41662369994446635,8.371121399803087,101.77521280813228,0.0005
20,1.068035330091204,1.0651642978191376,2.1019028425216675,0.3844251000555232,8.75554649985861,100.68878474837402,0.0005
21,1.0761807816369193,1.0651642978191376,2.1019028425216675,0.3950172000331804,9.15056369989179,99.78471844167714,0.0005
22,1.0811602473258972,1.0651642978191376,2.1019028425216675,0.4070362999336794,9.55759999982547,99.05149090728214,0.0005
23,1.071358391216823,1.0651642978191376,2.1019028425216675,0.39726999995764345,9.954869999783114,98.25023869351159,0.00025
24,1.0741146973201208,1.0651642978191376,2.1019028425216675,0.38711130002047867,10.341981299803592,97.3869905731505,0.00025
25,1.0781041809490748,1.0651642978191376,2.1019028425216675,0.39961840002797544,10.741599699831568,96.67439729848411,0.00025
26,1.072841158935002,1.0651642978191376,2.1019028425216675,0.40015649993438274,11.14175619976595,95.99051495182974,0.00025
27,1.0734586715698242,1.0651642978191376,2.1019028425216675,0.38090930006001145,11.522665499825962,95.16868172078479,0.00025
28,1.0784670625414168,1.0651642978191376,2.1019028425216675,0.38347879995126277,11.906144299777225,94.39871551966228,0.00025
29,1.0719440579414368,1.0651642978191376,2.1019028425216675,0.3813954000361264,12.287539699813351,93.63952667788794,0.00025
30,1.0698307752609253,1.0651642978191376,2.1019028425216675,0.38213289994746447,12.669672599760816,92.91093239824598,0.00025
31,1.0717303582600184,1.0651642978191376,2.1019028425216675,0.3798532000510022,13.049525799811818,92.18858548899316,0.00025
