config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
fast_cnn1d_4b27542e,fast,cnn1d,4.0,0.5,0.0005,0.1,huber,32,42,7,1.3768713115241014,0.2995358960889074,1.6373050689093378,0.3225917130040214,1.6373050689093378,0.4551485984555989,-0.2814864169822159,1.7119067239038237,pruned_early,pruning,,
fast_cnn1d_1617a2cf,fast,cnn1d,4.0,0.5,0.0005,0.2,huber,32,42,7,1.4383226985562096,0.3167196994696404,1.7306470485501868,0.343312975267371,1.7306470485501868,0.393094157124666,-0.2907276929485649,1.7786042211421949,pruned_early,pruning,,
fast_cnn1d_d5caefbc,fast,cnn1d,4.0,1.0,0.001,0.1,huber,32,42,7,1.361776016367681,0.3266444307180562,1.635839566958203,0.3539722993128067,1.635839566958203,0.3335620040725917,-0.2947291864307854,1.6865282999969826,pruned_early,pruning,,
fast_cnn1d_dc963dc9,fast,cnn1d,4.0,1.0,0.001,0.2,huber,32,42,7,1.3802658790509454,0.3360459767365125,1.6984418785396072,0.3880628122873018,1.6984418785396072,0.3727500623815024,-0.3519078765083764,1.7252248580970972,pruned_early,pruning,,
fast_cnn1d_aaa04bce,fast,cnn1d,4.0,1.0,0.0005,0.1,huber,32,42,7,1.560664654256127,0.3705990087952019,1.9390947716339384,0.4413629140813346,1.9390947716339384,0.2442853897250663,-0.1736473957085777,1.9012314316479395,pruned_early,pruning,,
fast_cnn1d_72293a47,fast,cnn1d,4.0,1.0,0.0005,0.2,huber,32,42,7,1.5095903823359382,0.3639780180036166,1.8520023556894136,0.4267904475852992,1.8520023556894136,0.4994043513563317,-0.2774834151880979,1.888444116628044,pruned_early,pruning,,
fast_tcn_73d4ee4e,fast,tcn,1.0,0.5,0.001,0.1,huber,32,42,7,1.4735005444986684,0.2513951280684069,1.798506834334063,0.2782755245589569,1.798506834334063,0.3829871034453726,-0.2405976414801189,1.7977078396139945,pruned_early,pruning,,
fast_tcn_54e50a2d,fast,tcn,1.0,0.5,0.001,0.2,huber,32,42,7,1.4957982200610185,0.2656953217957353,1.8279779902875224,0.2954860746011424,1.8279779902875224,0.3624151103858822,-0.2669287392546201,1.8260749900220483,pruned_early,pruning,,
fast_tcn_a9f5fd75,fast,tcn,1.0,0.5,0.0005,0.1,huber,32,42,19,1.3212194163531754,0.1944198584840861,1.6216810940458872,0.2137175363511287,1.6216810940458872,0.0198262467332593,-0.2263571059011812,1.557602137978893,completed,,,
fast_tcn_b4d85add,fast,tcn,1.0,0.5,0.0005,0.2,huber,32,42,8,1.66536110620735,0.2725156312898951,1.9902745166062203,0.2975769804005317,1.9902745166062203,0.1888139168695745,-0.3080105608873061,1.9916406093096128,pruned_early,pruning,,
fast_tcn_17cf2f97,fast,tcn,1.0,1.0,0.001,0.1,huber,32,42,19,1.3269106537100008,0.1976643320164779,1.6196396625560951,0.2207238431094066,1.6196396625560951,-0.0420863308769516,-0.257132198658323,1.570316872467105,completed,,,
fast_tcn_c6b5f11b,fast,tcn,1.0,1.0,0.001,0.2,huber,32,42,19,1.3221212703910383,0.2003821525227175,1.614081392202138,0.2238871112975868,1.614081392202138,-0.0483260038376679,-0.2610336812312565,1.5669772164407076,completed,,,
fast_tcn_e26fbba2,fast,tcn,1.0,1.0,0.0005,0.1,huber,32,42,8,1.61372492496222,0.2677180318240525,1.9477304151172667,0.291198094066373,1.9477304151172667,0.1582219905751998,-0.4092863201588955,1.940089405032129,pruned_early,pruning,,
