config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
ref_tcn_2e1e1355,refine,tcn,2.5,0.25,0.001,0.1,mse,16,42,8,1.614526954236169,0.2819088854387732,1.9630634269698843,0.3270503861201804,1.9630634269698843,0.1687668304649366,-0.3001202848303075,1.9366375713456223,pruned_early,pruning,,
ref_tcn_5073d072,refine,tcn,2.5,0.25,0.001,0.1,mse,32,42,8,1.6316725239637633,0.2579131008546959,2.0184817057599256,0.3233848795432769,2.0184817057599256,0.0738110429516387,-0.3033756820167575,1.939408194397852,pruned_early,pruning,,
ref_tcn_08f39134,refine,tcn,2.5,0.25,0.001,0.1,mse,64,42,7,1.5225125625374152,0.240064677466514,1.85156052319602,0.2617593477265593,1.85156052319602,0.3650622196381458,-0.1836094255668959,1.8408050597260568,pruned_early,pruning,,
ref_tcn_2dbef567,refine,tcn,2.5,0.25,0.001,0.1,huber,16,42,8,1.5849532412262846,0.2901070935594564,1.9344697947602192,0.3403703858735311,1.9344697947602192,0.1232369427513918,-0.3221419312125946,1.9016267286261384,pruned_early,pruning,,
ref_tcn_e3a182eb,refine,tcn,2.5,0.25,0.001,0.1,huber,32,42,7,1.5160412265363714,0.271581670178927,1.8457733056106584,0.2934699186340527,1.8457733056106584,0.3209422298273515,-0.2399667069257843,1.84065197980885,pruned_early,pruning,,
ref_tcn_fe75ee1d,refine,tcn,2.5,0.25,0.001,0.1,huber,64,42,8,1.630829091788294,0.274228649948213,2.034638977234851,0.34564188819718467,2.034638977234851,0.013558867276325492,-0.2647251332673004,1.9313564954170113,pruned_early,pruning,,
