file_name,subject_id,split,method,rmse_cm,mae_cm,pearson_r,r2,amp_error_cm,amp_error_pct,peak_error_cm,offset_error_cm,lag_samples,lag_seconds,n_samples,improvement_vs_linear_pct
01_alinhado_ml.csv,01,validation,raw_smart,4.402706702353888,4.217454767954181,0.9375454342905696,-0.44936192089553395,1.8393064737319946,17.442730437252997,3.328126907348633,4.206415262731061,1,0.016666412353515625,2055,
01_alinhado_ml.csv,01,validation,linear_baseline,2.027366123997186,1.6761968715972078,0.9375454345267638,0.6926722982635223,0.33639395236968994,3.190131234628383,1.550123691558838,1.3471508236505358,1,0.016666412353515625,2055,
01_alinhado_ml.csv,01,validation,dl_residual,2.246848262390233,1.910619557583835,0.9197994352821242,0.6225279277842837,0.4210001230239868,3.9924785590831102,1.2406425476074219,1.5564126896058714,1,0.016666412353515625,2055,-10.825974440192018
11_alinhado_ml.csv,11,validation,raw_smart,3.2042222161193785,2.738695531982427,0.8871414090526593,-0.5430555693860286,3.6532602310180664,38.19523874784874,0.7455487251281738,2.6753577725982485,1,0.016666412353515625,1924,
11_alinhado_ml.csv,11,validation,linear_baseline,1.3787596720944482,1.0767214351357033,0.8871414092030664,0.7142978845523931,1.3310699462890625,13.916483133868907,0.9582805633544922,0.18578532749728627,1,0.016666412353515625,1924,
11_alinhado_ml.csv,11,validation,dl_residual,1.4707512266330427,1.1266075456162576,0.8721410722159051,0.6749016610814482,2.8978309631347656,30.297142412161627,0.5449471473693848,0.16508087137665006,0,0.0,1924,-6.672051438729121
12_alinhado_ml.csv,12,validation,raw_smart,2.755899857302392,2.5637541210273675,0.9349620190817823,-0.8178471999242076,2.8923696279525757,37.8896176242908,1.4337244033813477,2.5366041999530564,1,0.016666412353515625,1939,
12_alinhado_ml.csv,12,validation,linear_baseline,0.8555894976202899,0.6246439013512025,0.9349620195161469,0.824788986874829,1.0431079864501953,13.66456152957842,0.5290555953979492,0.32121729736900884,1,0.016666412353515625,1939,
12_alinhado_ml.csv,12,validation,dl_residual,1.2033069934187237,0.8746106760371365,0.8963807438940458,0.6534360439669648,5.287450194358826,69.26482152751426,0.5667061805725098,0.42032340955652403,0,0.0,1939,-40.64069238408892
14_alinhado_ml.csv,14,validation,raw_smart,2.2587582524438914,1.831841751656724,0.7258344358677207,0.4911844408864857,6.01268196105957,45.551008264489084,4.281599521636963,0.13306806557457332,1,0.016666412353515625,2198,
14_alinhado_ml.csv,14,validation,linear_baseline,3.8061920123284216,3.2346966793882794,0.7258344365396721,-0.444781811523536,7.275361996144056,55.11684745006994,2.0865964889526367,2.9934298957529517,1,0.016666412353515625,2198,
14_alinhado_ml.csv,14,validation,dl_residual,3.437029794972726,2.9221060210422087,0.7571138736064841,-0.17811442219934892,6.5892014503479,49.91861729341965,2.5938425064086914,2.5465759830369814,0,0.0,2198,9.698990911650357
16_alinhado_ml.csv,16,validation,raw_smart,2.6783541561606587,2.3972329672156523,0.8333868182513126,-0.5569085970553735,0.49502483382821083,7.389651056561192,2.947507858276367,2.3861787531666594,1,0.016666412353515625,1931,
16_alinhado_ml.csv,16,validation,linear_baseline,1.385552454784078,1.1526625859136956,0.8333868178617839,0.5833483985876124,1.5849479176104069,23.65984745328698,0.7379722595214844,0.4744727824104311,1,0.016666412353515625,1931,
16_alinhado_ml.csv,16,validation,dl_residual,1.6216946944713067,1.3843045611610802,0.7275191234385648,0.4292245266264957,1.2661554552614689,18.90096487763402,0.8642096519470215,0.5462647792570325,-1,-0.016666412353515625,1931,-17.043182946403032
19_alinhado_ml.csv,19,validation,raw_smart,3.756478898060915,3.0604649427730917,0.6186440296327245,-0.497004812469104,2.216878116130829,25.56908893831536,4.926032781600952,2.819067932407479,1,0.016666412353515625,2033,
19_alinhado_ml.csv,19,validation,linear_baseline,2.547479132119499,2.241939248900301,0.6186440293606684,0.3115339013221764,3.3506174804642797,38.6454427660602,2.5868349075317383,0.04125619912697598,1,0.016666412353515625,2033,
19_alinhado_ml.csv,19,validation,dl_residual,2.552150353428782,2.2226003046083735,0.6001118132713289,0.3090067551864475,1.5738443732261658,18.152448915108586,1.9433293342590332,0.03994264408280168,0,0.0,2033,-0.18336642096049446
20_alinhado_ml.csv,20,validation,raw_smart,3.063722881686418,2.4214037974090012,0.6503180275479755,-0.3818437500005192,2.212991178035736,26.765326699412242,4.196362733840942,2.253746237795874,1,0.016666412353515625,1965,
20_alinhado_ml.csv,20,validation,linear_baseline,2.223776679411826,1.988273565403567,0.6503180260268682,0.27198165792875706,3.2767841815948486,39.631517745904006,1.923830509185791,0.6067355595213231,1,0.016666412353515625,1965,
20_alinhado_ml.csv,20,validation,dl_residual,2.2791967574637124,2.030381533849216,0.5927723435456275,0.2352427285329467,3.2324976325035095,39.095887976303494,2.1898021697998047,0.5751528543111397,0,0.0,1965,-2.492160231959298
24_alinhado_ml.csv,24,validation,raw_smart,3.7444696436187304,3.3163163008276477,0.6848100480496762,-1.5663570091369503,2.796551465988159,33.53984559575726,5.1190526485443115,3.3145201061542764,1,0.016666412353515625,1969,
24_alinhado_ml.csv,24,validation,linear_baseline,1.8564572905266459,1.567631020037095,0.6848100477679511,0.369178672598252,3.770097553730011,45.215863670281585,2.8240175247192383,0.45349598434172433,1,0.016666412353515625,1969,
24_alinhado_ml.csv,24,validation,dl_residual,1.9169732803960837,1.6251464247809502,0.6436922299127907,0.3273818807494122,3.102173686027527,37.20526073129846,2.8483567237854004,0.4631772253297197,0,0.0,1969,-3.259756643917753
