method,rmse_cm_mean,mae_cm_mean,pearson_r_mean,r2_mean,improvement_vs_linear_pct
dl_residual,2.0909939203968264,1.7620470780848823,0.7511913293958589,0.3842008877160812,-4.021960996296939
linear_baseline,2.010146607860299,1.6953456634658814,0.784080277600365,0.41537749857550077,
raw_smart,3.2330765759682842,2.8183955226057615,0.7840802777218026,-0.540149302247654,
