Time,accX_m_s2,accY_m_s2,accZ_m_s2,gyroX_rad_s,gyroY_rad_s,gyroZ_rad_s,vicon_esternoZ_cm
0.0,-0.4803981929208585,0.40110375298379786,0.517329527981213,-0.24221740161095584,0.18977171583478417,0.09036988172772129,0.0
0.016666666666666666,-0.579306592285853,0.6048351978283364,0.4539486173019363,-0.23302216654450336,0.15750071873987068,0.10150093792197397,0.03560383852919813
0.03333333333333333,-0.5367720280378813,0.7471594026613604,0.5170365435494665,-0.21309470226865995,0.13670319887720556,0.1115417929242585,0.04694251358912993
0.05,-0.6084052367679178,0.7651940591869506,0.8023488445203878,-0.1469891672798311,0.11884856809891862,0.11869765968953255,0.0791629999999941
0.06666666666666667,-0.7575441227996725,0.5201111199324626,0.4444542892963328,-0.0765288326278917,0.101815678198884,0.12635886608826744,0.09531079936053288
0.08333333333333333,-0.7102071207188063,0.1034683517152693,0.5067835165026394,-0.061010468922734075,0.10739656137842044,0.12438589506140212,0.08892967785772043
0.1,-0.6545775534668105,-0.39878181441433386,0.4643421678775995,-0.014408900465658845,0.10161301375277333,0.1083031253055949,0.08796399999999949
0.11666666666666667,-0.6900859922196859,-0.7685761377303649,0.2972205243405487,0.008705367900884466,0.08737643587241581,0.08343860628790188,0.07852919064748676
0.13333333333333333,-0.6477003192698204,-0.8557757609997722,0.19097809188247486,-0.0015667340949490427,0.04985827222375072,0.05398659238173515,0.0604802478017632
0.15,-0.4280835073174382,-0.6146134714568595,0.11948190528197693,-0.025710151761236956,0.01477257465910623,0.023388065596902055,0.03751300000001834
0.16666666666666666,-0.3319605922312087,-0.04759504312654034,0.11239481127898299,-0.042541788602382426,-0.013658735216847953,0.0008036337380737972,0.015118034772171995
0.18333333333333332,-0.3216069755638126,0.5700106204450615,0.006122547142023718,-0.046892945461627984,-0.03685440021436546,-0.008628046564576382,0.001663874100756857
0.2,-0.21147091106126636,1.0380587237814454,0.017931359091731946,-0.049691662584249015,-0.06375112773486469,-0.007891693075720305,0.008350000000007185
0.21666666666666667,0.07213984282834061,1.0438624506580227,0.15577248440625746,-0.028691827504582976,-0.11241396416909838,-0.01454305467362383,-0.014964912470020408
0.23333333333333334,0.24700837693815428,0.6829984499424269,0.1646852532025998,0.01730864760333112,-0.16572141717948413,-0.04308135803878738,-0.005787775779367621
0.25,0.3204099312229041,0.19107758387385643,0.08326250177935245,0.07235461027176811,-0.23755076576491144,-0.07855671788731985,-0.01229200000000219
0.26666666666666666,0.2940876037688762,-0.1719468922869456,-0.15833077734817266,0.11641395985863291,-0.32303944254636996,-0.10440100027056404,-0.029964360111904398
0.2833333333333333,0.4228262512589827,-0.2968754610960559,-0.3323872243298664,0.12722020099365508,-0.37787068587501743,-0.10819401454157322,-0.05740224980016251
0.3,0.7235696119155967,-0.35799418631124896,-0.2780831044561966,0.09779086077767572,-0.38519398673097033,-0.10924293271958395,-0.09864499999997633
0.31666666666666665,1.0561340492092672,-0.47909434314140503,-0.07381435397520504,0.05404114569266057,-0.37650797836741584,-0.10545329980047459,-0.10639205795362727
0.3333333333333333,1.4194336671982486,-0.6104583318604834,0.19281462364832863,0.0072639887634729635,-0.36712467793219095,-0.11075857021195347,-0.13085400119902602
0.35,1.5813878309091092,-0.5677596465248531,0.3123575808626431,-0.011764544819659623,-0.3703649565717288,-0.11111697936092252,-0.17419399999999996
0.36666666666666664,1.5016605123023163,-0.3132824548972723,0.164895436661956,-0.005221651572851567,-0.39726556463357315,-0.09068430312854586,-0.20410631135092672
0.3833333333333333,1.3132383301833415,0.12286317372911522,0.06001096210157788,0.0019092029254022666,-0.43283902039564465,-0.060134825962320206,-0.2533841810551394
0.4,1.2393384733442863,0.5485426154310354,0.07747403568276788,0.018780916076646635,-0.45099401039109677,-0.03235570915697139,-0.2721429999999998
0.4166666666666667,1.192446407062695,0.8210205035663847,0.25286990840516727,0.04624402092691763,-0.43234228548634496,-0.016557773295679937,-0.3121105299760245
0.43333333333333335,1.21522655246593,0.976564850945399,0.4244560470604168,0.080015491090673,-0.38600054006869855,-0.01246072061419973,-0.31773114068744235
0.45,1.1493039339517925,1.0295477733667648,0.3674681708932138,0.12600316757908148,-0.3450864793305666,-0.02260942294284927,-0.27761200000000485
0.4666666666666667,0.9861531141815941,0.9410756243427311,0.2909555873947059,0.1671783992946768,-0.30901986382638424,-0.023360887225266108,-0.22255341606711454
0.48333333333333334,0.9303061123860085,0.8366455258298471,0.20704914232222174,0.19588515292794298,-0.24162441544401253,-0.013755582559681056,-0.16147508113508025
0.5,0.8058028572062731,0.7498277612767674,0.069740298387034,0.2078804648469373,-0.16580333530876712,-0.012181143152255283,-0.1195549999999912
0.5166666666666666,0.678209374186362,0.589076937675517,0.17771952726741555,0.20740752164183485,-0.11005722070757712,-0.004964581228410111,-0.01730564748200436
0.5333333333333333,0.6742847367851313,0.3525781290023905,0.5277131070895165,0.2122058268180625,-0.05270252563519481,0.017874775592298244,0.0944429452437987
0.55,0.7820238530968717,0.17395311123124066,0.5923232309251922,0.22296985203407016,-0.005975232948075577,0.04363114969472096,0.19720499999999674
0.5666666666666667,0.8651776374466758,0.1363161490644517,0.37218332551618244,0.22044618882097503,0.02252556472677654,0.06387205209483576,0.3487043804956045
0.5833333333333334,0.7877201675505715,0.14991129812791418,0.22477885131749287,0.20513669391353714,0.019942046168438483,0.07396879109829749,0.4887137126299308
0.6,0.5418915583214077,0.1415855241388992,0.3600652836335574,0.17697438969107507,0.0017215436184047019,0.07755673727973744,0.6217290000000162
0.6166666666666667,0.3123132751049682,-0.013394102403295412,0.5058088015384156,0.15719577075420257,-0.011413919439852012,0.0842979873124337,0.769548204236628
0.6333333333333333,0.1701179609668799,-0.2825575583526634,0.5315571652121359,0.14366276423451918,-0.009592991652429965,0.10076914216886643,0.9000191790567555
0.65,0.15709438976237877,-0.7820069829114286,0.4404434671871523,0.11913775754854564,0.006744254868159192,0.11717647858708272,0.9966190000000097
