Time,accX_m_s2,accY_m_s2,accZ_m_s2,gyroX_rad_s,gyroY_rad_s,gyroZ_rad_s,velocidade_corrigida_smart_m_s,deslocamento_corrigido_smart_m,vicon_esternoZ_cm
0.0,-0.293992500856806,-0.6203332591888919,-3.443665306574061,0.004025056814145,0.0233720639251969,0.0100752871299592,0.029574411132910858,-0.004537807302130198,0.0
0.0166666666666666,-0.2658820564123189,-0.6310734528879327,-3.4530960670884085,0.0031055109721268,0.041008660489248,0.0230106676597738,0.02804109595495155,-0.004160614903399475,0.0030526290967145
0.0333333333333333,-0.2000587393433406,-0.6068928694875257,-3.467402969650512,0.0012104596267935,0.0475173221678274,0.0273668852600777,0.026941426379688563,-0.003797187789979172,0.0039071558752965
0.05,-0.1977056125168542,-0.6078300292257975,-3.507355229555371,0.0005100192764383,0.0415717723318397,0.0284647270466915,0.025823806733177593,-0.0034484190793591264,0.0056632925659414
0.0666666666666666,-0.1378146299661617,-0.6167380481968655,-3.477198572951935,0.0021866149824115,0.0411092286110299,0.0254902347305614,0.024546991347237278,-0.003117646061268624,0.003577492406066
0.0833333333333333,-0.1580345212999988,-0.616199412884891,-3.490771013551546,0.0011331333202172,0.035468484275459,0.0200239910632314,0.023276025998398266,-0.0028052817915060497,0.0056401558752838
0.0999999999999999,-0.149151570903353,-0.6110573445588637,-3.491580264120254,0.0007382575565929,0.0253474314735774,0.0169020536001418,0.022099712733518937,-0.002510021541556734,0.004004551159042
0.1166666666666666,-0.1756395880107164,-0.6089059894903617,-3.5020683121440586,-0.0008289814423404,0.0180389233560387,0.0156136679894173,0.02097393561288349,-0.0022311789070964803,0.0040163852917629
0.1333333333333333,-0.1471145894822804,-0.6158828496725194,-3.4984522731298293,-0.0025122288560183,0.0113572235303897,0.0125528388091347,0.019766897067326813,-0.0019699157376667407,0.0048101558752904
0.15,-0.1644292895946189,-0.6179987990386594,-3.482877215387431,-0.0024866947396616,0.011257040656546,0.0105013003999474,0.018557359810367848,-0.0017261241743367324,0.0047608437250374
0.1666666666666666,-0.2084207845024403,-0.6042128327942576,-3.47025844016518,-0.0012499905301064,0.0123788929432539,0.0120561721870472,0.017602575800175966,-0.0014955427904753144,0.0027095655475619
