method,n_files,rmse_cm_mean,rmse_cm_std,mae_cm_mean,pearson_r_mean,r2_mean,amp_error_cm_mean,offset_error_cm_mean,lag_seconds_mean,improvement_vs_linear_pct
dl_residual,8,1.5340013964225365,0.9897144482053452,1.2843543950114293,0.9150248522104193,0.632614568784565,1.4079157459782436,0.7573952810082429,-0.006249904632568359,23.68708877133074
linear_baseline,8,2.010146607860299,0.9028391330785316,1.6953456634658814,0.784080277600365,0.41537749857550077,2.7460476268315688,0.8029429837087796,0.016666412353515625,
raw_smart,8,3.2330765759682842,0.6987469928624545,2.8183955226057615,0.7840802777218026,-0.540149302247654,2.7648829859681427,2.5406197912976536,0.016666412353515625,
