method,rmse_cm_mean,mae_cm_mean,pearson_r_mean,r2_mean,improvement_vs_linear_pct
dl_residual,1.5340013964225365,1.2843543950114293,0.9150248522104193,0.632614568784565,23.68708877133074
linear_baseline,2.010146607860299,1.6953456634658814,0.784080277600365,0.41537749857550077,
raw_smart,3.2330765759682842,2.8183955226057615,0.7840802777218026,-0.540149302247654,
