loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2025-05-09T09:33:05.607-03:00,1,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.602507,16.40755653381348,12.06525421142578,10.60567474365234,255.8777313232422,276.3213195800781,11.63520431518555,5880.019996125,-0.1233367919921875,-0.612945556640625,-0.812347412109375,5880.012456125,0.5841758251190186,-0.4039064645767212,-0.4440200626850128,5880.017086125001,12.10977172851562,61.81561279296875,-79.78578186035156,5880.004918125001,0.2636961732155558,-0.05967362572437362,0.7349305208841331,0.3913077116012573,-0.3419586718082428,-0.3816605508327484,-0.04591993987560272,0.0196567177772522,-0.1101969480514526,XArbitraryCorrectedZVertical,0.3596345950463199,0.0196092584889823,0.1120109311595318,0.9261382509423243,-0.04424424469470978,-0.6705356240272522,-0.7405568957328796,16.18689918518066,12.06942749023438,10.73591613769531,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.614-03:00,2,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.602507,16.40755653381348,12.06525421142578,10.60567474365234,255.8777313232422,276.3213195800781,11.63520431518555,5880.036329125001,-0.14306640625,-0.6384124755859375,-0.761932373046875,5880.028790125,0.8450822830200195,-0.5301640033721924,-0.6298703551292419,5880.037216125001,12.21316528320312,62.35704040527344,-80.11386108398438,5880.019996125,0.2552112051515448,-0.06009630951957146,0.7440251793232745,0.7364124059677124,-0.4682977795600891,-0.5345459580421448,-0.06839019060134888,0.05809903144836426,-0.0975346565246582,XArbitraryCorrectedZVertical,0.3639347712177031,0.01847582586715347,0.1076694091270124,0.9249959062603283,-0.04418915882706642,-0.6772549152374268,-0.7344202399253845,16.20354652404785,12.03517150878906,10.60704803466797,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.627-03:00,3,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.622635,16.34213638305664,12.61005783081055,10.02667999267578,256.8729248046875,277.3165283203125,11.63529014587402,5880.052663125,-0.107574462890625,-0.7184906005859375,-0.6602935791015625,5880.045125125001,0.7878064513206482,-0.6072699427604675,-0.6743568778038025,5880.037216125001,12.21316528320312,62.35704040527344,-80.11386108398438,5880.035073125,0.2438383259773521,-0.06010858056453795,0.7569660119841126,0.8706451058387756,-0.5837054848670959,-0.6747170686721802,-0.09990194439888,0.05264019966125488,-0.04093044996261597,XArbitraryCorrectedZVertical,0.3699986906408123,0.01720292277015685,0.1019376903459823,0.9232625665716545,-0.0436679944396019,-0.6867191195487976,-0.725610077381134,16.3403148651123,12.42131423950195,10.33527374267578,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.647-03:00,4,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.64284,16.19673728942871,13.13537979125977,9.777030944824219,257.8568725585938,278.3004760742188,11.63537120819092,5880.068996125,-0.0742340087890625,-0.7435150146484375,-0.6619873046875,5880.061459125001,0.6559368371963501,-0.5206109881401062,-0.6266309022903442,5880.057348125,12.39617919921875,62.59654235839844,-80.32760620117188,5880.050151125,0.2307832880478587,-0.06026609725621281,0.7697618459316213,0.7436289191246033,-0.5931896567344666,-0.6677224636077881,-0.08233035355806351,0.007457196712493896,0.003226101398468018,XArbitraryCorrectedZVertical,0.3759977184325081,0.01546926197517799,0.0954278419149214,0.9215639018466236,-0.0432494729757309,-0.6959642171859741,-0.7167728543281555,16.34213638305664,12.61005783081055,10.02667999267578,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.662-03:00,5,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.64284,16.19673728942871,13.13537979125977,9.777030944824219,257.8568725585938,278.3004760742188,11.63537120819092,5880.085332125001,-0.0614166259765625,-0.7669219970703125,-0.6443328857421875,5880.077792125,0.4764962494373322,-0.4100306630134583,-0.5247905254364014,5880.077478125,11.5657958984375,62.66647338867188,-80.87741088867188,5880.080306125001,0.207134805010825,-0.05850985398306773,0.7892661167903379,0.4473573863506317,-0.4042495489120483,-0.5137356519699097,-0.01795419305562973,-0.04449695348739624,0.04178416728973389,XArbitraryCorrectedZVertical,0.3850373054276719,0.0128725624646821,0.08420954800832893,0.9189610274155449,-0.04118886962532997,-0.7098365426063538,-0.7031611204147339,15.81719207763672,12.94724655151367,9.553199768066406,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.678-03:00,6,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.662771,16.12169647216797,13.22178268432617,9.301322937011719,258.6766357421875,279.1202392578125,11.63544750213623,5880.101665125,-0.11871337890625,-0.7857666015625,-0.6244049072265625,5880.094126125,0.3160325288772583,-0.3629496991634369,-0.5395410060882568,5880.097607125001,12.18527221679688,62.71932983398438,-81.52227783203125,5880.095383125001,0.1964202592632443,-0.05668634965229019,0.7953748364850736,0.3033637404441833,-0.3643776476383209,-0.5470353960990906,-0.07169847190380096,-0.08174192905426025,0.07149720191955566,XArbitraryCorrectedZVertical,0.3878280724485567,0.01195730929136901,0.07944132729981271,0.9182241934172571,-0.03966017067432404,-0.7141260504722595,-0.6988928318023682,16.2390022277832,13.00965118408203,8.956474304199219,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.693-03:00,7,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.683167,16.24820899963379,13.36643218994141,9.110816955566406,259.4644470214844,279.9080505371094,11.63552093505859,5880.117999125,-0.0963134765625,-0.725921630859375,-0.6264190673828125,5880.110461125,0.1322411298751831,-0.323456346988678,-0.5646013617515564,5880.117736125,12.1785888671875,63.14118957519531,-81.03929138183594,5880.110461125,0.1846338581597141,-0.05335454001010718,0.7991437337409737,0.1329620778560638,-0.3290572464466095,-0.5665894746780396,-0.07549858093261719,-0.04962867498397827,0.07396823167800903,XArbitraryCorrectedZVertical,0.389494880875758,0.01138146086543524,0.07456126229204248,0.9179350801215419,-0.03718757629394531,-0.7167592644691467,-0.6963284015655518,16.24820899963379,13.36643218994141,9.110816955566406,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.708-03:00,8,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.703191,16.28958320617676,13.57960891723633,8.973304748535156,260.2383422851562,280.6819458007812,11.63559436798096,5880.134332125001,-0.0774993896484375,-0.7036285400390625,-0.6485443115234375,5880.126794125001,-0.04146488383412361,-0.2916004359722137,-0.5250118374824524,5880.117736125,12.1785888671875,63.14118957519531,-81.03929138183594,5880.125538125,0.1731580101743021,-0.04970109299796156,0.8003315402517016,-0.02770563215017319,-0.2994509041309357,-0.5310985445976257,-0.04826946556568146,0.0008053779602050781,0.05571627616882324,XArbitraryCorrectedZVertical,0.3899708639352354,0.01087695409874525,0.06997098206541011,0.9181005065882848,-0.03460101410746574,-0.7175870537757874,-0.6956088542938232,16.28958320617676,13.57960891723633,8.973304748535156,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.729-03:00,9,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.723079,16.08778190612793,13.79359436035156,9.062965393066406,260.9346313476562,281.3782348632812,11.635666847229,5880.150668125,-0.0637664794921875,-0.7185211181640625,-0.6670989990234375,5880.143128125001,-0.159295380115509,-0.2570874691009521,-0.460890918970108,5880.137866125,12.12493896484375,63.67527770996094,-81.17677307128906,5880.140616125001,0.162222227913446,-0.04607387191237174,0.7993569431753357,-0.1436805725097656,-0.2697239518165588,-0.4760917127132416,-0.04543530568480492,0.01413381099700928,0.04762434959411621,XArbitraryCorrectedZVertical,0.3894591662331746,0.01036949987125724,0.06568280540005735,0.9186402413394383,-0.03210986033082008,-0.7169079184532166,-0.6964280605316162,16.24362182617188,13.79536819458008,9.11029052734375,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:05.743-03:00,10,0,0,0,0,0,-1,0,-1,-1,-1,0,1746793985.723079,16.08778190612793,13.79359436035156,9.062965393066406,260.9346313476562,281.3782348632812,11.635666847229,5880.167001125001,-0.0934295654296875,-0.702392578125,-0.69122314453125,5880.159462125001,-0.2305559813976288,-0.2006849050521851,-0.4252873957157135,5880.157998125001,12.15908813476562,63.69281005859375,-81.33329772949219,5880.155694125,0.1526710794366601,-0.04269969624761243,0.7969139016683687,-0.218362957239151,-0.2112635523080826,-0.4296426773071289,-0.03229930251836777,-0.004249334335327148,0.0235518217086792,XArbitraryCorrectedZVertical,0.388279078862436,0.009963909683747319,0.06201222890267823,0.9193990137798146,-0.02983448468148708,-0.7152025699615479,-0.6982801556587219,16.21061706542969,13.86881256103516,9.023834228515625,-1,2,5879.029905916666,unknown,2,2025-05-09T09:33:04.604-03:00,2025-05-09T08:28:17.986-03:00,968,1.022133,0,0,658.44,0,0,2025-05-09T09:33:05.247-03:00,5876.459018,0,-6.056152,91.34248,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
