val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,537,30,19,0.08924487978219986,0.33101617319609633,0.417064445717209,0.417064445717209,0.7247685579913394,0.14663524574499914,135.8679794253736
03,537,30,93,0.08412445336580276,0.31142052493163247,0.4059755142212501,0.4059755142212501,0.8654172815606084,-0.08874046767364942,54.07645790291782
08,538,29,40,0.0917389765381813,0.3562690541089978,0.42149338017894067,0.42149338017894067,0.7981483790598167,-0.2839839070585781,137.5993027332205
09,537,30,1,0.17548558115959167,0.48179487088507605,0.593786506363848,0.593786506363848,0.4977268527987547,0.3175435249488671,194.32048813818326
12,538,29,1,0.11110755801200867,0.3779157062429613,0.46742241343252233,0.46742241343252233,0.5020366988368145,0.14702986939403767,365.5060715645829
13,537,30,14,0.268619567155838,0.6012249072844215,0.7458105144437159,0.7458105144437159,0.6417111914581458,-0.4968157337010295,323.7973727765858
14,534,33,39,0.7101268470287323,0.9855555297419397,1.0977249917331062,1.0977249917331062,-0.015180036139478492,0.950328580818593,267.44510079567306
15,536,31,26,0.6196163296699524,0.9582139479216708,1.32699800994003,1.32699800994003,-0.14232446776099472,-0.7276443816405992,111.38841422392878
