val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,573,32,1,0.15353348851203918,0.46102630150799084,0.5457043373781978,0.5457043373781978,0.5363687277494891,0.31135780448636674,191.86899710162407
03,573,32,19,0.08951432257890701,0.3356394952660594,0.41813023891313755,0.41813023891313755,0.8584521618788317,-0.06952124024771061,71.94435058310346
08,574,31,7,0.09802862256765366,0.34661916692406985,0.43928170076796874,0.43928170076796874,0.782764787682725,-0.13541039481930564,139.60928194903573
09,573,32,1,0.09824053198099136,0.34817945867889644,0.4390111356235822,0.4390111356235822,0.7212227584694495,0.06586879970594357,141.9008652282304
12,574,31,53,0.060718998312950134,0.2681028270568687,0.3457589839097762,0.3457589839097762,0.7298848883803173,-0.069298828271908,241.06714354540236
13,573,32,1,0.2914612591266632,0.6194662421047421,0.7932934566631921,0.7932934566631921,0.579849444581697,-0.1894226315884225,340.67391699533766
14,570,35,63,0.8705457746982574,1.1767740208075181,1.2856918435234237,1.2856918435234237,-0.41545599893564833,1.1490346188685259,330.2574375826268
