val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,555,31,30,0.08927114307880402,0.3331314865372992,0.41648125803582287,0.41648125803582287,0.721190964880024,0.23305802033319326,130.78627121592768
03,555,31,42,0.07616788148880005,0.29605389775954083,0.38426816740238223,0.38426816740238223,0.8776150952775758,-0.03862448189206051,59.295765757874975
08,556,30,58,0.0906793549656868,0.34863973293496575,0.41690109265507475,0.41690109265507475,0.8008460872267682,-0.278130384536667,135.675738231276
09,555,31,8,0.1798391193151474,0.5043673261976509,0.5975702768121443,0.5975702768121443,0.4849777591292058,0.45398131334537883,264.8603095527806
12,556,30,5,0.1373475193977356,0.4110990818610675,0.5294060842803463,0.5294060842803463,0.37550073257148275,-0.062081610763933794,533.7736152570478
13,555,31,3,0.21481925249099731,0.529150487198123,0.6696138525755784,0.6696138525755784,0.7211564981177329,-0.19447628262756964,402.5645752374031
14,552,34,21,0.6936048567295074,0.9610605241767523,1.0753700323331756,1.0753700323331756,0.007043491852424255,0.9122497196419787,232.4296780364727
15,554,32,24,0.5815766453742981,0.8943819846563403,1.2872616785246418,1.2872616785246418,-0.07360072189095179,-0.7400414683822115,111.46371295357429
16,556,30,4,0.06594967097043991,0.2779566347109007,0.35357926909168147,0.35357926909168147,0.7366248818716055,0.13635617667048117,85.53736372265458
17,556,30,36,0.05936099961400032,0.25294742912694884,0.3403889896208775,0.3403889896208775,0.8364715678562058,-0.1432369435703893,93.30114020803683
18,556,30,54,0.13637618720531464,0.42968315998320805,0.511265688677913,0.511265688677913,0.5081028149370653,0.401450751420602,196.056855011307
19,555,31,73,0.1981070190668106,0.494645822893304,0.6341676010104778,0.6341676010104778,0.5982681613560404,0.02116371136572626,83.65680345947321
20,556,30,39,0.04844566062092781,0.21332594290416665,0.2961977746032589,0.2961977746032589,0.8686917908957061,-0.0057546490017557515,164.88902285926767
21,555,31,64,0.1085161417722702,0.3489292444726144,0.45211668155336054,0.45211668155336054,0.6956995719908179,-0.27121312531905906,226.23387016250427
22,555,31,35,0.056405209004879,0.2734021645047287,0.3292912495484088,0.3292912495484088,0.795550142812119,-0.23544803887041088,727.7190475143361
25,555,31,5,0.1047215610742569,0.3881513640079664,0.4555775805082679,0.4555775805082679,0.6010787057362742,-0.04421618101758695,117.2469637322043
27,555,31,15,0.1497700959444046,0.41435803457648446,0.5462704167660961,0.5462704167660961,0.6829293108237112,-0.29383353186698985,258.28354358055645
28,556,30,39,0.06065847724676132,0.24472677446698068,0.32589222738165613,0.32589222738165613,0.8657164666703624,0.03161248548994384,110.01204182325355
29,555,31,45,0.04482182487845421,0.21581601601915593,0.2914122871061795,0.2914122871061795,0.8785642911670626,0.0865346344467628,99.36046654177379
