val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,2227,126,27,0.18103234469890594,0.33837865148698076,0.41431734014549526,0.41431734014549526,0.7299367177876509,0.2632789034765305,155.49627021627126
03,2230,123,28,0.16699980944395065,0.3035761491970228,0.3963042406473116,0.3963042406473116,0.8709520177803076,-0.13416627612315765,53.969613749120235
08,2232,121,66,0.12157484143972397,0.2757016299578256,0.34283326505414236,0.34283326505414236,0.8661947988579304,-0.15660889297087494,119.11167630421629
09,2230,123,1,0.43651412427425385,0.541208033809668,0.6514607341647571,0.6514607341647571,0.3912935353080763,0.43194589397823313,240.63645517010568
12,2233,120,1,0.4663502722978592,0.5383607701814133,0.6820411405377766,0.6820411405377766,-0.03501813473058202,-0.2291615174732708,740.098923643279
13,2229,124,1,0.5627208948135376,0.5783231411708936,0.7429058847953657,0.7429058847953657,0.655294978232283,-0.3347865763933883,451.0662043903353
14,2216,137,17,1.4809641440709431,0.9709322868065836,1.0912192473439906,1.0912192473439906,-0.03222262995685776,0.930639324601402,232.1192040614204
15,2226,127,5,1.7364999055862427,0.9801791675353124,1.289847372088887,1.289847372088887,-0.10303500752976924,-0.72007283235091,104.32735353739744
16,2234,119,8,0.17895860224962234,0.27204518977698744,0.3924093941449439,0.3924093941449439,0.6383311045407654,0.10152538001110793,100.1878436095663
17,2232,121,31,0.13087670505046844,0.23591230330081817,0.331829837820052,0.331829837820052,0.8257520518088197,-0.12713222594150167,87.82274846492952
18,2232,121,28,0.2522743195295334,0.39510251693727744,0.47857546278855106,0.47857546278855106,0.5727035888790803,0.3646994390070038,232.9853317914035
19,2227,126,50,0.43497084081172943,0.5132966115589318,0.6417661215641774,0.6417661215641774,0.5932365451661823,0.0795973151004208,87.24336229212048
20,2231,122,43,0.10419972613453865,0.2111900237249592,0.2978210134231496,0.2978210134231496,0.8621244027968237,0.001837871492130407,109.40010014094976
21,2229,124,30,0.22202027589082718,0.35696520482013455,0.451035608336636,0.451035608336636,0.7167027390194056,-0.2581909890211893,242.100763185117
22,2230,123,11,0.08838145807385445,0.22949383212460805,0.28839636915502886,0.28839636915502886,0.8397281448605556,-0.1529936938256388,615.1219205153068
25,2228,125,3,0.21655642241239548,0.3911428450576961,0.46190184757029884,0.46190184757029884,0.5855769212730171,-0.04483402557946742,119.90489381865497
27,2229,124,5,0.2998645603656769,0.4170530592271168,0.5350941886724437,0.5350941886724437,0.6933430766674242,-0.18331280191877408,235.86713846107043
28,2232,121,45,0.10758186131715775,0.23709065256237513,0.31180673314157065,0.31180673314157065,0.8861902516559409,0.013895165145880807,73.91755099051028
29,2227,126,35,0.08595018088817596,0.20308942422072437,0.2821329968279425,0.2821329968279425,0.8856255751568206,0.10402923145867322,85.85169912078456
