val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,1137,64,10,0.07530709728598595,0.2987407276869514,0.37271241130464117,0.37271241130464117,0.7676648710101741,0.23535377540362484,175.12929947818873
03,1138,63,40,0.04011777229607105,0.2128336772404576,0.2792227032714379,0.2792227032714379,0.93696749851913,-0.043338706841779796,48.71782898439443
08,1139,62,40,0.0615561306476593,0.2717622489275371,0.3443825836661268,0.3443825836661268,0.8620826140455826,-0.18242999451805747,107.5865355080042
09,1138,63,28,0.1108909510076046,0.3925122961501416,0.45638389549979597,0.45638389549979597,0.6884325547914315,0.36145917510332926,162.95495995602022
12,1140,61,19,0.052757808938622475,0.24789145336143828,0.31743066867996833,0.31743066867996833,0.7663429229743186,-0.02299502286594043,268.3385876365357
13,1138,63,34,0.21801014244556427,0.5195066295764053,0.658608340116058,0.658608340116058,0.721439448336919,-0.43698643179845664,174.87822406656457
14,1131,70,87,0.5800318419933319,0.9259761889197674,1.02867984488256,1.02867984488256,0.09211967144935262,0.8711816726493583,255.14748597150972
15,1136,65,59,0.4668867190678914,0.8336404362525074,1.0852630951115065,1.0852630951115065,0.17957725728158158,-0.6578300306386051,121.81416432644743
16,1140,61,2,0.09653561189770699,0.3574416705465092,0.42836541513469656,0.42836541513469656,0.6141882894226185,0.2207370540863183,85.17213150760784
17,1139,62,35,0.04920682869851589,0.23221312121474696,0.30467046148064575,0.30467046148064575,0.8662880436775736,-0.0614181853266732,85.73439055266196
18,1139,62,52,0.05409415066242218,0.2656715915502695,0.31574678537591394,0.31574678537591394,0.8156346825853055,0.2119713706351186,194.63679162146087
19,1137,64,130,0.1463521122932434,0.44217374245575536,0.535172869844853,0.535172869844853,0.7221501504162056,0.08680353986455884,59.73443586920022
20,1139,62,65,0.04799704905599356,0.2199463988068796,0.290322311066778,0.290322311066778,0.872967029116674,-0.043822519927628596,98.72007089124237
21,1138,63,49,0.10985362902283669,0.36566307760245986,0.4569749677585917,0.4569749677585917,0.715277832221327,-0.3163914982151553,239.8729004460741
22,1138,63,2,0.04095260798931122,0.2247278463574678,0.2806648478711213,0.2806648478711213,0.852154356563223,-0.06190578013679851,362.7432185736748
25,1137,64,21,0.038027822971343994,0.2145878136972897,0.2673722261414968,0.2673722261414968,0.8539586982182135,0.03826738112456951,98.05906950334258
27,1138,63,34,0.06726896576583385,0.27832460835732814,0.3577657551947671,0.3577657551947671,0.8636255612370581,-0.04116958370649382,166.50440548333012
28,1139,62,73,0.07434118166565895,0.28867255187507657,0.36491409413864145,0.36491409413864145,0.8401124805868875,0.10100253139167488,75.65688406865671
29,1137,64,28,0.04835096746683121,0.23174189435667358,0.2923316394821308,0.2923316394821308,0.8689990626577926,0.12241634782270315,76.55818019944839
