val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,1173,66,33,0.11020053178071976,0.3264942004425319,0.41289110873106777,0.41289110873106777,0.6813948770617191,0.21181430083754205,125.14675973525434
03,1174,65,75,0.09617501497268677,0.3003908523916601,0.39117664515270867,0.39117664515270867,0.8642921285435016,-0.12283716486677385,72.53407394782863
08,1175,64,23,0.06958958879113197,0.28728229328480664,0.3634580011716497,0.3634580011716497,0.8464130028355255,-0.08526888964794731,134.7694668194318
09,1174,65,6,0.2709937443335851,0.5946505437469563,0.6827771896311422,0.6827771896311422,0.3036924106180757,0.5590684661544406,269.7022140714488
12,1176,63,2,0.17666441202163696,0.4841293988972822,0.591732457616432,0.591732457616432,0.20415624968335155,0.1737096137688255,457.10926519889614
13,1174,65,13,0.21447134763002396,0.5808713922616787,0.7546225895562296,0.7546225895562296,0.621619047176112,-0.44998115013323675,264.63581098039424
14,1167,72,16,0.5457038680712382,0.8691365925147289,0.9758313678540905,0.9758313678540905,0.11514045073931001,0.7983163164414927,193.82309566215451
15,1172,67,18,0.5619016687075297,0.9159981217436882,1.0653978120965173,1.0653978120965173,-0.06989207411815812,-0.7577797424553231,116.92908785519147
16,1176,63,3,0.10337970778346062,0.3627985650134549,0.4316727922533053,0.4316727922533053,0.5864626818335295,0.16928942312354656,93.12020667121598
17,1175,64,51,0.08970892801880836,0.3000726491369127,0.402748995731947,0.402748995731947,0.7413206332077442,-0.15399902089434364,116.57703193113484
18,1175,64,9,0.15679209679365158,0.4368296586423336,0.540179459499619,0.540179459499619,0.4317175017748638,0.36190658843770507,263.14426252586065
19,1173,66,47,0.30253930886586505,0.6114571011127818,0.7481422064576634,0.7481422064576634,0.4213998766164122,0.046862935528718876,104.45313518226469
20,1175,64,27,0.08434731513261795,0.275073945092178,0.36053944677012,0.36053944677012,0.7616317410253874,-0.05026397862923962,116.24170318841544
21,1174,65,65,0.09802113597591718,0.3594579992457054,0.45332113567948124,0.45332113567948124,0.6608377762034868,-0.20325093591603666,237.87313181604844
22,1174,65,21,0.04504690133035183,0.2540107226967013,0.32021671151909237,0.32021671151909237,0.799202365026419,-0.169869996692201,679.6960571364826
25,1173,66,8,0.09661764403184255,0.38456164760105876,0.4612705164423779,0.4612705164423779,0.5492665856150396,-0.06971477631495965,146.56669130047203
27,1174,65,24,0.1300318588813146,0.41408763875475885,0.5358465761044432,0.5358465761044432,0.6655928888106073,-0.2291775654983044,241.34074781114424
28,1175,64,25,0.10156987234950066,0.3235797638199983,0.41535928800432914,0.41535928800432914,0.7672989525804298,-0.016283578904858587,83.20113246061123
29,1173,66,13,0.058830526346961655,0.27350285542944225,0.355894883531664,0.355894883531664,0.800951859034768,0.050050658316791265,99.57726973903338
