val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,555,31,27,0.09485404938459396,0.33054528417146894,0.42577365388789706,0.42577365388789706,0.7007609401481151,0.179423907636379,137.48019688760374
03,555,31,29,0.09274617582559586,0.33227966084797184,0.4256329009600807,0.4256329009600807,0.8514508939722991,-0.08752234824267584,58.59021616362742
08,556,30,21,0.08819868415594101,0.3406346972967083,0.4124895140504099,0.4124895140504099,0.8063988254789598,-0.25994611283005387,119.66624047839414
09,555,31,1,0.16577008366584778,0.46880263022902785,0.5755632670775898,0.5755632670775898,0.5281382085268778,0.294322209889015,189.40205326708332
12,556,30,1,0.13330373167991638,0.41795345138146706,0.5139652640752973,0.5139652640752973,0.4022664447912173,0.07569121478262887,516.5167072486631
13,555,31,3,0.2360912263393402,0.5619085580972398,0.7049907695721984,0.7049907695721984,0.6917082691593975,-0.23434609761054787,397.8216277523714
14,552,34,34,0.7091059386730194,0.9749259581784238,1.0782349040863966,1.0782349040863966,-0.0033417091871779103,0.9368442602310477,256.4125940621098
15,554,32,37,0.6077538132667542,0.9242170355418542,1.3251568372812716,1.3251568372812716,-0.13608339530959723,-0.7559399070248927,112.37881819720276
