val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,2227,126,3,0.1087451484054327,0.3589946939935846,0.4585799483073394,0.4585799483073394,0.6399582797963436,0.28383564617842677,153.02271506284288
03,2230,123,8,0.08449453860521317,0.3113311227254802,0.4060911920535687,0.4060911920535687,0.8636208847996658,-0.11200547353399862,58.9692604585527
08,2232,121,34,0.05464268662035465,0.25784772178917587,0.3267244766534289,0.3267244766534289,0.8769690964628655,-0.10094675425245085,106.3462965062606
09,2230,123,1,0.16261389944702387,0.4746742187730267,0.5582106840258588,0.5582106840258588,0.5494046949168925,0.4420534162527344,230.64735046918804
12,2233,120,1,0.12533514574170113,0.40544931426460323,0.4946032769287915,0.4946032769287915,0.45226431525219357,-0.07111666816195875,546.6862535118576
13,2229,124,1,0.2475610813125968,0.5673593882906067,0.7104236196289645,0.7104236196289645,0.6711578790530833,-0.4840492612685663,249.56651914427272
14,2216,137,3,0.5849011540412903,0.9935272537379519,1.1134836675714366,1.1134836675714366,-0.061733902456625245,0.9612589158690047,230.61978089100145
15,2226,127,15,0.5888858921825886,0.9263287395984912,1.261957047561628,1.261957047561628,-0.06328521787619912,-0.6593331804363121,116.76838252321792
16,2234,119,13,0.07541450345888734,0.25832245156085454,0.368633727084683,0.368633727084683,0.6835977453231384,0.0681226673809008,100.95841937127112
17,2232,121,16,0.051175026688724756,0.22222571649461645,0.30885666762773445,0.30885666762773445,0.8568421473854962,-0.08807844309237294,88.50127598083702
18,2232,121,17,0.10399396158754826,0.3711779233895386,0.44581282087773566,0.44581282087773566,0.6300454529481407,0.34027733110273695,268.2013515437539
19,2227,126,25,0.2139456383883953,0.5117621420881657,0.6658420346671358,0.6658420346671358,0.5626341883028765,0.07898389119797795,96.21397260551564
20,2231,122,9,0.05037241522222757,0.21244346039892614,0.29421378573061924,0.29421378573061924,0.8667587766595974,0.0023974956700685206,99.2336437166538
21,2229,124,26,0.08986351639032364,0.3047304303859867,0.41167479297332277,0.41167479297332277,0.7503676418188013,-0.19660261090377956,204.2363892001547
22,2230,123,14,0.044007207034155726,0.2220511600948395,0.2898123318203571,0.2898123318203571,0.8381254074420532,-0.12675104090656603,713.6958284774995
25,2228,125,2,0.12095083110034466,0.3818517919111997,0.48111328472357195,0.48111328472357195,0.5384812162025892,-0.15048690123495956,130.40533976633702
27,2229,124,16,0.1279976163059473,0.3714620897857634,0.5013714790583194,0.5013714790583194,0.7289118256955407,-0.20648370362395455,227.73512327015993
28,2232,121,10,0.05781478015705943,0.24948493609395386,0.32544325927990864,0.32544325927990864,0.8739661449369496,0.021601949649748774,88.28462475916118
29,2227,126,16,0.034368472173810005,0.18272430708571508,0.25431032601603487,0.25431032601603487,0.9071293314393724,0.021653396937806435,73.57086386010067
