val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,1173,66,35,0.11219979077577591,0.34664524487655424,0.4202296328080103,0.4202296328080103,0.6784867059501035,0.2558999224770826,187.47822101850377
03,1174,65,63,0.08583646764357884,0.31515904899304487,0.4008512139687035,0.4008512139687035,0.8677202316768984,-0.049730342792359016,71.15961225189123
08,1175,64,9,0.12119561806321144,0.38953840821210783,0.48691667919006265,0.48691667919006265,0.7254203635249513,-0.17098430315645602,137.16220472778403
09,1174,65,4,0.2319025844335556,0.5218413369923544,0.6061659049646386,0.6061659049646386,0.45469886070046783,0.458659660630943,245.65056087702595
12,1176,63,33,0.0719340592622757,0.29358433279764423,0.3710663326415517,0.3710663326415517,0.6787550981085013,-0.06276905453280686,246.79175695445363
13,1174,65,16,0.2649843394756317,0.5952807758992107,0.7772358471604809,0.7772358471604809,0.6032125451907628,-0.4413782711362896,168.30958295694276
14,1167,72,46,0.7122393945852915,1.0756546043218502,1.1901679690137539,1.1901679690137539,-0.24980629352591932,1.0345277607515864,280.83667725338466
