val_subject_id,n_train_windows,n_val_windows,best_epoch,best_val_loss,mae,rmse,rms,r2,bias,mape_pct
02,2227,126,24,0.17346881330013275,0.3116297702361872,0.40039664866272523,0.40039664866272523,0.7406360031044475,0.2026464082407408,137.11482179303073
03,2230,123,40,0.16420796513557434,0.30852577029419487,0.3935007490198981,0.3935007490198981,0.873192849999683,-0.09545296869058979,62.251822296157044
08,2232,121,32,0.14280115813016891,0.29836308501463266,0.367992011881154,0.367992011881154,0.8431143130301295,-0.18904235380658105,117.29790061726749
09,2230,123,5,0.2911244258284569,0.4499201058220942,0.5304894157239365,0.5304894157239365,0.59306732304948,0.4176180779032515,211.5661241001026
12,2233,120,104,0.2554554045200348,0.3852328302731977,0.49944291073803543,0.49944291073803543,0.43810624878184545,0.04594541149366867,406.39866891485667
13,2229,124,10,0.5697158426046371,0.5744941657844567,0.7323571395652534,0.7323571395652534,0.6523178065827816,-0.49385913685128163,281.8856274437469
14,2216,137,24,1.284369428952535,0.8916727735757841,0.9918084640762402,0.9918084640762402,0.1357966124531621,0.8495198098226018,220.82878680292538
15,2226,127,7,1.661018192768097,0.9272593899150414,1.2588766177898267,1.2588766177898267,-0.05501135380056543,-0.728979052722239,98.70286737180011
16,2234,119,25,0.18104376643896103,0.27627147424475657,0.40397417663381596,0.40397417663381596,0.6353788356179617,0.12075259168933639,113.07166121682519
17,2232,121,18,0.1491650938987732,0.26710769963726533,0.36619084676603886,0.36619084676603886,0.8005500604044873,-0.11612651592498638,90.65560941582015
18,2232,121,34,0.2812305986881256,0.4133637990920032,0.506645682100867,0.506645682100867,0.5204974315356721,0.3859840407733839,218.0393605383171
19,2227,126,6,0.5948693007230759,0.6374895342809234,0.7565121533186242,0.7565121533186242,0.44364335959012247,0.10751792393550869,105.97692428502887
20,2231,122,20,0.12248216196894646,0.24424820587654786,0.3262780129228519,0.3262780129228519,0.8409819570245383,-0.06142334012433001,97.14974699779481
21,2229,124,28,0.19312253594398499,0.32631367349262375,0.41883808870082373,0.41883808870082373,0.7536981856506244,-0.23147213268978772,221.846548471259
22,2230,123,24,0.09144533053040504,0.22649095229991678,0.29227207176458087,0.29227207176458087,0.8343901678092024,-0.15263550620072167,745.5711958741824
25,2228,125,1,0.2145455777645111,0.38407637623414387,0.4577150348898558,0.4577150348898558,0.5901355540648747,0.02429080820205311,107.42519458192716
27,2229,124,30,0.22267647087574005,0.3461649765463087,0.45582666079698536,0.45582666079698536,0.7717202867324434,-0.2556283503604373,227.58980118357468
28,2232,121,21,0.12478283792734146,0.25698599575791053,0.3348769331684503,0.3348769331684503,0.8682624142551618,0.05869642732416718,105.13151758910672
29,2227,126,13,0.0897764265537262,0.21662764203324475,0.288908515499988,0.288908515499988,0.8804755887762065,0.05524590321918752,86.80093226061678
